epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.451,3.48924,4.23122,3.86893,0.01751,0.01677,0.00258,0.00074,3.38876,3.62541,3.48514,0.070137,0.00331811,0.00331811
2,523.454,3.0932,3.13534,3.15555,0.24289,0.19518,0.13166,0.04335,2.57788,2.73309,2.46064,0.0401205,0.00663498,0.00663498
3,785.861,2.22775,2.22066,2.10394,0.37427,0.31685,0.29614,0.12078,2.14732,2.47799,1.99344,0.0100876,0.00993535,0.00993535
4,1047.79,2.01851,2.00319,1.88398,0.43011,0.42777,0.37126,0.15742,1.97388,1.84891,1.76321,0.00992575,0.00992575,0.00992575
5,1314.32,1.90288,1.85695,1.77899,0.48163,0.44325,0.42683,0.18094,1.95373,1.74954,1.76405,0.009901,0.009901,0.009901
6,1577.37,1.84431,1.77358,1.72983,0.49775,0.45013,0.45493,0.21511,1.8214,1.74424,1.70581,0.00987625,0.00987625,0.00987625
7,1840.21,1.80929,1.72675,1.70279,0.57453,0.45357,0.48984,0.22408,1.83544,1.62813,1.70674,0.0098515,0.0098515,0.0098515
8,2102.8,1.77152,1.67079,1.67521,0.57901,0.46518,0.49899,0.23796,1.77184,1.57743,1.66809,0.00982675,0.00982675,0.00982675
9,2365.5,1.74997,1.64612,1.67166,0.55405,0.50473,0.52378,0.25013,1.74813,1.5351,1.63289,0.009802,0.009802,0.009802
10,2628.2,1.73743,1.60526,1.65182,0.61201,0.49011,0.52636,0.25843,1.72806,1.46785,1.58035,0.00977725,0.00977725,0.00977725
11,2890.38,1.72423,1.58966,1.64052,0.57821,0.48918,0.52512,0.26544,1.70346,1.48213,1.62075,0.0097525,0.0097525,0.0097525
12,3153.42,1.6981,1.56399,1.62825,0.58173,0.46991,0.485,0.23658,1.76175,1.51585,1.60694,0.00972775,0.00972775,0.00972775
13,3415.81,1.69073,1.55076,1.62167,0.53508,0.5086,0.52012,0.25222,1.74492,1.47544,1.59951,0.009703,0.009703,0.009703
14,3678.47,1.69379,1.53927,1.6291,0.5763,0.49823,0.5164,0.2599,1.7036,1.47936,1.57202,0.00967825,0.00967825,0.00967825
15,3941.11,1.68282,1.52894,1.61545,0.63242,0.48967,0.55539,0.28389,1.67121,1.41943,1.56897,0.0096535,0.0096535,0.0096535
16,4204.33,1.66905,1.51731,1.60289,0.57651,0.54196,0.54843,0.28042,1.64649,1.43133,1.55386,0.00962875,0.00962875,0.00962875
17,4467.54,1.65981,1.49088,1.60047,0.61207,0.54041,0.57446,0.2945,1.64654,1.37514,1.55058,0.009604,0.009604,0.009604
18,4731.56,1.65436,1.49196,1.59212,0.61926,0.52236,0.5861,0.30396,1.61986,1.38438,1.53493,0.00957925,0.00957925,0.00957925
19,4994.02,1.64283,1.47851,1.57949,0.60785,0.546,0.582,0.30151,1.67059,1.34251,1.57545,0.0095545,0.0095545,0.0095545
20,5255.55,1.63737,1.45975,1.57399,0.65624,0.51075,0.58936,0.3056,1.63132,1.31491,1.51778,0.00952975,0.00952975,0.00952975
21,5517.92,1.64012,1.46507,1.58795,0.60505,0.54667,0.58461,0.30345,1.63502,1.33342,1.56037,0.009505,0.009505,0.009505
22,5779.9,1.63035,1.45753,1.58433,0.6249,0.54792,0.59521,0.31539,1.62162,1.30138,1.53017,0.00948025,0.00948025,0.00948025
23,6042.09,1.62656,1.44683,1.58217,0.60815,0.57481,0.60112,0.31541,1.61629,1.30279,1.53095,0.0094555,0.0094555,0.0094555
24,6304.73,1.61629,1.43284,1.56449,0.63472,0.55202,0.61735,0.32389,1.59801,1.3023,1.5094,0.00943075,0.00943075,0.00943075
25,6566.98,1.62588,1.44402,1.57672,0.63536,0.55434,0.60522,0.32175,1.61368,1.27239,1.53254,0.009406,0.009406,0.009406
26,6829.2,1.61391,1.42897,1.56479,0.62974,0.55546,0.60093,0.32209,1.5788,1.26705,1.51064,0.00938125,0.00938125,0.00938125
27,7091.01,1.59969,1.42042,1.55829,0.6337,0.55675,0.61282,0.3289,1.56782,1.27104,1.47917,0.0093565,0.0093565,0.0093565
28,7353.32,1.60049,1.40663,1.5619,0.66031,0.55589,0.63046,0.33816,1.5774,1.26552,1.49895,0.00933175,0.00933175,0.00933175
29,7615.59,1.59726,1.41368,1.55797,0.64355,0.56406,0.623,0.33679,1.57673,1.24676,1.4937,0.009307,0.009307,0.009307
30,7877.85,1.5914,1.41087,1.55656,0.66471,0.55675,0.62745,0.33652,1.56982,1.25491,1.49451,0.00928225,0.00928225,0.00928225
31,8139.88,1.593,1.39985,1.55184,0.6408,0.57446,0.6379,0.34459,1.56435,1.22678,1.49468,0.0092575,0.0092575,0.0092575
32,8402.43,1.58047,1.39475,1.55329,0.63896,0.57997,0.62718,0.33734,1.56058,1.24214,1.48713,0.00923275,0.00923275,0.00923275
33,8665.59,1.57571,1.39177,1.542,0.66342,0.5804,0.63762,0.34763,1.55088,1.21337,1.48148,0.009208,0.009208,0.009208
34,8928.61,1.58624,1.39251,1.55752,0.63318,0.59372,0.63733,0.34442,1.56147,1.22196,1.49058,0.00918325,0.00918325,0.00918325
35,9191.53,1.58226,1.38627,1.55542,0.67674,0.58899,0.64821,0.35076,1.54359,1.20952,1.47476,0.0091585,0.0091585,0.0091585
36,9455.18,1.57503,1.37261,1.54747,0.67113,0.57567,0.63996,0.34527,1.56791,1.19906,1.4934,0.00913375,0.00913375,0.00913375
37,9718.26,1.57007,1.37901,1.54127,0.68115,0.57051,0.6505,0.35129,1.55249,1.19384,1.48621,0.009109,0.009109,0.009109
38,9982.02,1.56843,1.36874,1.54439,0.68126,0.57911,0.64951,0.35147,1.54933,1.1852,1.48754,0.00908425,0.00908425,0.00908425
39,10245.3,1.57101,1.37616,1.544,0.66147,0.59587,0.64344,0.35098,1.54346,1.19414,1.4774,0.0090595,0.0090595,0.0090595
40,10508.4,1.56041,1.35332,1.53691,0.65167,0.59359,0.64495,0.35456,1.53702,1.18776,1.47521,0.00903475,0.00903475,0.00903475
41,10771.5,1.56626,1.35519,1.53833,0.66831,0.58555,0.64678,0.35016,1.5432,1.19771,1.47334,0.00901,0.00901,0.00901
42,11034.7,1.55285,1.34535,1.52488,0.65931,0.59154,0.64821,0.35497,1.53576,1.18416,1.47207,0.00898525,0.00898525,0.00898525
43,11297.7,1.55209,1.34663,1.52755,0.65617,0.59931,0.65531,0.35722,1.53979,1.17247,1.47527,0.0089605,0.0089605,0.0089605
44,11560.9,1.55486,1.33262,1.53853,0.67654,0.6049,0.65371,0.35868,1.52259,1.16796,1.46986,0.00893575,0.00893575,0.00893575
45,11823.7,1.54901,1.34655,1.52819,0.68124,0.58986,0.65792,0.36261,1.52405,1.1612,1.46647,0.008911,0.008911,0.008911
46,12087.1,1.55593,1.33423,1.53159,0.68542,0.61608,0.66652,0.36462,1.52017,1.14323,1.46353,0.00888625,0.00888625,0.00888625
47,12348.7,1.53442,1.30779,1.51582,0.69264,0.59028,0.66156,0.3629,1.531,1.14711,1.4697,0.0088615,0.0088615,0.0088615
48,12611,1.54979,1.31927,1.52481,0.68064,0.5877,0.65886,0.35979,1.52947,1.14823,1.46556,0.00883675,0.00883675,0.00883675
49,12872.6,1.54306,1.3231,1.52291,0.67122,0.59595,0.65471,0.36071,1.52415,1.14942,1.46184,0.008812,0.008812,0.008812
50,13134.9,1.5366,1.31777,1.51232,0.6707,0.59845,0.66209,0.36335,1.52626,1.14552,1.46185,0.00878725,0.00878725,0.00878725
51,13397,1.54002,1.31239,1.51959,0.68363,0.60404,0.66674,0.36391,1.52735,1.13677,1.46473,0.0087625,0.0087625,0.0087625
52,13659.5,1.53378,1.31153,1.5136,0.69116,0.60325,0.66696,0.36431,1.53168,1.13564,1.46878,0.00873775,0.00873775,0.00873775
53,13921.3,1.54467,1.30905,1.52565,0.68069,0.61823,0.67139,0.36806,1.52356,1.13575,1.46293,0.008713,0.008713,0.008713
54,14183.8,1.53233,1.2993,1.51525,0.67604,0.61866,0.67299,0.36755,1.52047,1.12582,1.46131,0.00868825,0.00868825,0.00868825
55,14445.5,1.53564,1.29634,1.51463,0.67231,0.62009,0.67228,0.36836,1.51915,1.12152,1.46063,0.0086635,0.0086635,0.0086635
56,14707.8,1.53198,1.29399,1.51007,0.69084,0.61006,0.67178,0.36846,1.51544,1.11971,1.45736,0.00863875,0.00863875,0.00863875
57,14970,1.52593,1.28853,1.51377,0.6877,0.61479,0.67502,0.36905,1.51453,1.11858,1.45642,0.008614,0.008614,0.008614
58,15232.4,1.53031,1.28711,1.5104,0.67842,0.62511,0.67769,0.37113,1.51656,1.11411,1.45629,0.00858925,0.00858925,0.00858925
59,15494.7,1.52158,1.29055,1.50306,0.67194,0.63242,0.67782,0.37253,1.5124,1.10916,1.45402,0.0085645,0.0085645,0.0085645
60,15757.9,1.52107,1.27721,1.50703,0.67557,0.63156,0.67786,0.37345,1.51317,1.10452,1.4538,0.00853975,0.00853975,0.00853975
61,16021,1.50891,1.27197,1.50534,0.67696,0.63199,0.67785,0.37289,1.5136,1.10303,1.45579,0.008515,0.008515,0.008515
62,16284.3,1.51316,1.27095,1.49937,0.6896,0.62425,0.68152,0.37304,1.51439,1.10116,1.45514,0.00849025,0.00849025,0.00849025
63,16547.2,1.50962,1.2635,1.50432,0.68773,0.62872,0.68116,0.37437,1.51371,1.1001,1.45545,0.0084655,0.0084655,0.0084655
64,16810.4,1.50517,1.26396,1.50002,0.69336,0.62253,0.68239,0.37428,1.51346,1.0977,1.45708,0.00844075,0.00844075,0.00844075
