epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.009,3.50575,5.60005,4.12028,0.07378,0.12769,0.02862,0.00689,3.12334,11.5512,4.74706,0.070137,0.00331811,0.00331811
2,479.504,2.75872,3.1294,3.04868,0.25324,0.22786,0.16115,0.04522,2.63597,2.83424,2.7748,0.0401205,0.00663498,0.00663498
3,719.704,2.20028,2.42643,2.37174,0.28565,0.28418,0.21681,0.0775,2.28266,12.628,2.49946,0.0100876,0.00993535,0.00993535
4,959.584,2.02877,2.22079,2.14834,0.36921,0.34576,0.3067,0.11808,2.21045,2.36266,2.26364,0.00992575,0.00992575,0.00992575
5,1199.79,1.93753,2.07725,2.0273,0.48364,0.38736,0.38812,0.16164,1.97906,2.21076,2.02785,0.009901,0.009901,0.009901
6,1439.47,1.8802,1.98904,1.96369,0.54043,0.45099,0.4695,0.212,1.87046,2.02938,1.91423,0.00987625,0.00987625,0.00987625
7,1679.38,1.85058,1.94861,1.91605,0.53119,0.47334,0.4906,0.22657,1.83949,1.77204,1.86322,0.0098515,0.0098515,0.0098515
8,1919.59,1.8136,1.87127,1.88699,0.58223,0.47592,0.52539,0.24916,1.80219,1.66626,1.80894,0.00982675,0.00982675,0.00982675
9,2159.64,1.79565,1.81092,1.86081,0.56039,0.44798,0.48475,0.23162,1.77678,2.03052,1.80174,0.009802,0.009802,0.009802
10,2399.49,1.78002,1.78344,1.84172,0.599,0.48615,0.52778,0.25448,1.82991,1.63024,1.81516,0.00977725,0.00977725,0.00977725
11,2639.24,1.76526,1.76411,1.82887,0.61716,0.50086,0.54605,0.26878,1.78765,1.56508,1.78699,0.0097525,0.0097525,0.0097525
12,2879.31,1.74408,1.729,1.79874,0.5979,0.48712,0.52274,0.24823,1.79001,1.67122,1.75659,0.00972775,0.00972775,0.00972775
13,3118.91,1.74245,1.7237,1.79662,0.54459,0.51771,0.53189,0.26135,1.75329,1.55255,1.7407,0.009703,0.009703,0.009703
14,3358.72,1.73084,1.70229,1.78782,0.66203,0.50473,0.57488,0.27991,1.72188,1.53987,1.68945,0.00967825,0.00967825,0.00967825
15,3598.83,1.72337,1.68977,1.78221,0.62612,0.50086,0.55351,0.2771,1.72202,1.54471,1.71357,0.0096535,0.0096535,0.0096535
16,3838.96,1.70831,1.68588,1.76404,0.62663,0.5129,0.57362,0.28072,1.68719,1.5279,1.69389,0.00962875,0.00962875,0.00962875
17,4079.05,1.70396,1.64789,1.75526,0.64486,0.4957,0.56324,0.27957,1.71196,1.5206,1.69327,0.009604,0.009604,0.009604
18,4319.01,1.697,1.65159,1.75061,0.66593,0.49699,0.57907,0.29234,1.66401,1.50285,1.6662,0.00957925,0.00957925,0.00957925
